key,loudness,tempo,duration_ms,playlist_uri
7,-13.944,105.864,237013,0
7,-16.712,168.355,166507,0
8,-10.902,183.841,292288,0
1,-3.985,96.033,223241,1
10,-3.66,144.031,210707,1
1,-14.742,177.68,246867,0
7,-2.642,128.092,213576,1
3,-18.246,86.933,262027,0
5,-3.268,162.253,177048,1
11,-3.126,185.364,191332,1
4,-5.642,116.322,271000,1
9,-13.065,97.091,316453,0
10,-14.45,106.337,433827,0
8,-17.666,81.106,272991,0
0,-10.374,81.55,398277,0
4,-16.581,111.179,279377,0
8,-3.991,76.04,307645,1
4,-3.828,161.997,205394,1
4,-3.619,123.64,225706,1
0,-20.42,120.623,196250,0
7,-3.245,119.992,207987,1
7,-6.269,125.986,219720,1
10,-33.616,100.746,230493,0
9,-6.238,100.935,363680,1
0,-10.488,163.074,200725,0
2,-12.615,131.681,186280,0
6,-2.497,173.997,233533,1
1,-2.88,85.019,192176,1
7,-5.242,120.117,322340,1
8,-17.222,67.289,329307,0
11,-20.031,118.92,155707,0
10,-3.751,132.97,304893,1
3,-16.534,139.444,215250,0
7,-2.729,90.526,189120,1
10,-4.49,109.121,263080,1
2,-1.909,135.093,283400,1
10,-21.29,75.706,339893,0
6,-5.215,139.961,214134,1
11,-4.77,143.821,177960,1
1,-11.73,76.061,171253,0
6,-16.353,111.058,287837,0
7,-6.861,169.921,179093,1
5,-3.524,126.02,186067,1
4,-4.222,124.099,172826,1
10,-19.236,85.753,249816,0
7,-5.21,172.046,146177,1
9,-3.607,122.956,227267,1
7,-12.765,182.797,304580,0
3,-13.001,104.265,262347,0
8,-14.114,126.928,249453,0
3,-4.168,111.132,195653,1
4,-19.719,74.052,372187,0
10,-19.323,172.374,314040,0
0,-16.741,94.461,294287,0
0,-14.939,118.785,291173,0
5,-15.422,80.465,299507,0
11,-4.915,163.976,188769,1
8,-3.01,169.995,193886,1
1,-14.07,68.987,213907,0
1,-2.555,139.941,229840,1
4,-3.366,183.985,243913,1
0,-16.761,117.838,221000,0
3,-4.681,154.966,206903,1
8,-3.268,109.905,259960,1
9,-6.283,125.105,234227,1
10,-5.484,95.19,201667,1
7,-4.612,109.649,238653,1
10,-20.447,128.374,250500,0
7,-4.69,92.358,269533,1
3,-13.822,173.272,235533,0
7,-3.929,140.042,197853,1
5,-14.184,129.565,357013,0
10,-25.403,107.577,158373,0
5,-19.134,103.695,318280,0
0,-9.71,118.955,332147,0
7,-3.883,177.94,272666,1
1,-1.711,142.031,269266,1
6,-11.408,97.025,233849,0
2,-4.316,160.051,206640,1
3,-2.803,149.859,200677,1
5,-14.291,86.365,184868,0
2,-9.701,114.816,243533,1
4,-3.405,130.936,201960,1
9,-5.464,102.489,291813,1
8,-17.55,63.118,332120,0
2,-5.185,163.128,265053,1
10,-17.352,59.173,250937,0
7,-3.839,89.535,284027,1
1,-10.46,112.646,364507,0
2,-25.336,148.305,474787,0
1,-15.549,93.992,243640,0
0,-2.108,99.962,170177,1
1,-3.888,154.673,167035,1
7,-2.189,199.888,261680,1
10,-14.397,91.871,358035,0
9,-25.962,141.805,284987,0
4,-14.448,174.401,164867,0
0,-17.972,102.738,228863,0
0,-14.701,123.838,277065,0
9,-3.994,150.184,184867,1
1,-3.842,95.01,244365,1
0,-3.675,99.17,250793,1
11,-4.48,124.031,244538,1
2,-14.387,89.777,232280,0
7,-15.723,123.145,202200,0
0,-3.389,111.989,204853,1
0,-3.63,130.066,222461,1
6,-2.905,143.075,231963,1
9,-4.831,181.933,300783,1
5,-15.918,121.746,310276,0
8,-17.698,184.098,212813,0
0,-16.067,123.79,290119,0
2,-3.399,123.051,233080,1
3,-14.034,93.271,330747,0
10,-4.659,113.043,243853,1
5,-18.352,90.184,199424,0
6,-5.085,106.606,282093,1
0,-10.522,176.916,188227,0
1,-4.277,71.841,214760,1
8,-3.717,166.904,211430,1
2,-13.902,96.417,380381,0
7,-15.298,95.769,464093,0
3,-15.336,118.024,319227,0
2,-18.744,84.726,174000,0
4,-13.825,149.307,273627,0
5,-18.532,103.683,278293,0
1,-3.431,95.009,220600,1
7,-3.426,87.48,187654,1
0,-6.489,125.03,222827,1
8,-5.747,142.935,206434,1
2,-17.077,125.877,139605,0
0,-21.476,82.763,212827,0
7,-11.613,70.774,188546,0
2,-4.31,163.168,235013,1
5,-4.241,110.05,179182,1
7,-13.579,129.332,228360,0
0,-17.699,64.554,206987,0
5,-4.674,140.032,204677,1
7,-18.181,85.131,220600,0
1,-20.462,131.796,303109,0
7,-11.365,122.052,258864,0
3,-9.027,73.539,193178,0
5,-4.649,76.185,223655,1
7,-20.353,128.722,312787,0
10,-15.009,98.969,235373,0
9,-7.419,110.42,448613,1
2,-4.172,75.052,199773,1
5,-10.365,112.075,249800,0
6,-4.545,99.731,255231,1
3,-3.974,95.141,188600,1
1,-16.328,133.708,171949,0
5,-16.631,61.188,423493,0
1,-17.784,77.495,328328,0
7,-4.12,112.092,304373,1
11,-5.996,97.57,289560,1
7,-14.207,117.878,233613,0
10,-16.312,77.794,174186,0
5,-3.777,126.025,229933,1
0,-11.408,110.104,168093,0
11,-13.975,114.043,252213,0
9,-4.419,95.136,157333,1
7,-12.515,77.248,170187,0
5,-2.661,100.065,216427,1
4,-19.687,113.713,191960,0
1,-18.062,61.437,305538,0
4,-4.069,107.974,181427,1
5,-19.504,112.115,336133,0
3,-3.982,165.107,220537,1
4,-3.23,135.071,245861,1
4,-4.54,144.081,220689,1
5,-14.847,67.715,332067,0
5,-12.65,100.222,405227,0
3,-4.262,89.954,279213,1
0,-22.804,74.571,263773,0
1,-8.008,118.242,315120,1
7,-2.358,129.842,315177,1
11,-4.901,96.504,209703,1
10,-19.291,148.868,336933,0
2,-4.309,95.02,187372,1
3,-4.358,118.004,305907,1
9,-20.45,82.369,129533,0
7,-3.323,96.051,215004,1
10,-15.6,180.73,207895,0
6,-8.289,118.5,196547,0
1,-4.174,136.896,247373,1
6,-5.063,164.989,223173,1
1,-11.566,76.176,361307,0
5,-3.309,92.512,215347,1
8,-4.973,140.155,274333,1
7,-20.314,131.24,285307,0
7,-2.406,101.28,232640,1
8,-6.659,108.948,166707,1
0,-17.883,101.114,262627,0
0,-15.897,147.22,226558,0
2,-4.41,134.001,291427,1
5,-4.641,112.037,230933,1
9,-15.622,83.464,268177,0
0,-14.114,48.086,275688,0
6,-2.997,134.724,278600,1
1,-9.247,74.391,252013,0
